itemid,mean_frequency,missing_count,total_count
220862,4.5625,0.0,219
220864,2.595505617977528,0.0,231
220949,19.648837209302325,0.0,8449
220950,2.6153846153846154,0.0,34
220970,2.4545454545454546,0.0,135
221036,4.0,0.0,4
221289,9.363636363636363,0.0,309
221319,2.0,0.0,8
221347,3.25,0.0,26
221429,11.615384615384615,0.0,151
221468,9.74074074074074,0.0,263
221555,7.0,0.0,56
221653,5.714285714285714,0.0,120
221662,9.538461538461538,0.0,248
221668,6.095238095238095,0.0,256
221712,15.0,0.0,45
221744,14.166666666666666,0.0,85
221749,15.628865979381443,0.0,1516
221794,9.114285714285714,0.0,319
221833,8.5,0.0,51
221906,27.7012987012987,0.0,4266
221986,7.375,0.0,118
222037,1.5,0.0,3
222042,16.1875,0.0,259
222051,18.333333333333332,0.0,55
222056,11.577319587628866,0.0,1123
222151,1.0,0.0,1
222168,12.75943396226415,0.0,2705
222315,6.578947368421052,0.0,250
223258,13.484126984126984,0.0,1699
225147,1.0,0.0,2
225148,3.0,0.0,3
225150,9.0,0.0,135
225151,2.3333333333333335,0.0,7
225152,7.37888198757764,0.0,1188
225153,7.8,0.0,78
225155,3.4444444444444446,0.0,31
225157,1.5,0.0,3
225158,17.649350649350648,0.0,10872
225159,6.181818181818182,0.0,136
225161,3.1666666666666665,0.0,19
225168,3.5303030303030303,0.0,699
225170,2.619047619047619,0.0,110
225171,3.4444444444444446,0.0,31
225173,1.0,0.0,1
225174,1.0,0.0,1
225823,2.857142857142857,0.0,240
225825,1.875,0.0,30
225827,5.5,0.0,44
225828,2.967479674796748,0.0,365
225830,1.5,0.0,3
225910,4.25,0.0,85
225916,10.3,0.0,103
225917,6.8,0.0,68
225920,1.0,0.0,1
225931,20.333333333333332,0.0,61
225936,3.1666666666666665,0.0,19
225937,2.0,0.0,2
225942,7.99009900990099,0.0,807
225943,15.591603053435115,0.0,4085
225944,15.337662337662337,0.0,1181
225945,2.857142857142857,0.0,20
226089,3.143617021276596,0.0,591
226880,8.5,0.0,34
227522,6.53030303030303,0.0,862
227523,1.8476190476190477,0.0,388
227525,23.482758620689655,0.0,681
227529,23.384615384615383,0.0,608
227530,8.5,0.0,17
227531,3.3333333333333335,0.0,10
227532,1.0,0.0,1
227536,40.57692307692308,0.0,1055
227695,12.0,0.0,12
227975,8.333333333333334,0.0,50
228135,6.8,0.0,34
228140,4.0,0.0,4
228315,4.358695652173913,0.0,401
228316,11.666666666666666,0.0,140
228339,4.35,0.0,87
228340,6.376623376623376,0.0,491
228341,2.0,0.0,2
228351,11.423076923076923,0.0,297
228359,9.0,0.0,9
228363,8.5,0.0,17
228367,6.0,0.0,30
229009,11.722222222222221,0.0,211
229010,5.857142857142857,0.0,41
229011,5.916666666666667,0.0,71
229012,16.0,0.0,48
229013,13.444444444444445,0.0,121
229014,7.375,0.0,59
229234,27.0,0.0,162
229295,11.6,0.0,116
229296,12.214285714285714,0.0,171
229297,10.727272727272727,0.0,236
229420,21.82051282051282,0.0,851
229624,14.461538461538462,0.0,188
229630,22.627906976744185,0.0,973
229632,31.5,0.0,63
229639,12.285714285714286,0.0,86
229640,2.391304347826087,0.0,55
229654,5.8,0.0,87
230034,2.0,0.0,2
230044,2.0,0.0,2
